id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4VuDktkXJQ,,7,"2024-06-10 13:49:10",@rafaela1531,"Exatamente, o movimento transborda misoginia, e o pior é que se você é uma mulher que discorda deles não tem problema ser misógino. E a gente acaba se tornando refém, muitas vezes deixando de se posicionar por medo da violência e da represália. Em ambientes acadêmicos mesmo, é impossível dar qualquer opinião contraria sobre esse assunto sem ser escorraçada.",UCFclrL3vIf33NN7JFalTmmw,http://www.youtube.com/@rafaela1531,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4VuqVnjOXI,,0,"2024-06-10 13:54:36",@brumtt,"Poo tá fascista transfóbica nojenta",UCjibw2Dnz1-Qn-R91c1hkNg,http://www.youtube.com/@brumtt,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4W1lOjUPF9,,0,"2024-06-10 15:03:49",@emanoel_stofel5908,"@@fillipegumes7352 ah mano vai cagar vai,tu acha que ela queria isso?",UCdSiWTjcUMDQrD1VPo205Nw,http://www.youtube.com/@emanoel_stofel5908,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4W3_2HjrEQ,,1,"2024-06-10 15:19:36",@fillipegumes7352,"@@emanoel_stofel5908 as mulheres no geral sim",UCmpVXn6k7lP_7Vov2rdlOqQ,http://www.youtube.com/@fillipegumes7352,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4W5Bl2Puve,,0,"2024-06-10 15:33:45",@emanoel_stofel5908,"@@fillipegumes7352 acho que tu nunca viu uma mulher na vida velho",UCdSiWTjcUMDQrD1VPo205Nw,http://www.youtube.com/@emanoel_stofel5908,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4WDIxmNHpi,,0,"2024-06-10 16:44:39",@fillipegumes7352,"@@emanoel_stofel5908 acho que não cara",UCmpVXn6k7lP_7Vov2rdlOqQ,http://www.youtube.com/@fillipegumes7352,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4WLsffKwH0,,1,"2024-06-10 17:59:34",@DouglasdosSantos-ke1ok,"​@@fillipegumes7352 não faz sentido você falar isso para ela, não da pra generalizar e jogar alguém que está do seu lado para outro campo",UC5thuHam7W3uGtuXvxRREjw,http://www.youtube.com/@DouglasdosSantos-ke1ok,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4WLzrI_VcQ,,0,"2024-06-10 18:00:33",@DouglasdosSantos-ke1ok,"​@@fillipegumes7352ela não é ""as mulheres no geral""",UC5thuHam7W3uGtuXvxRREjw,http://www.youtube.com/@DouglasdosSantos-ke1ok,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4Xiv0hYEck,,0,"2024-06-11 06:48:51",@machistofranco7844,"Ainda tem gente que dá crédito para noiado? MBL milícia digital do centrão",UCK4JnIGS_CHBT9RfvKqf7Bg,http://www.youtube.com/@machistofranco7844,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4Ya5zQhmw7,,0,"2024-06-11 14:51:04",@EmanuelOliveira-dr2ys,"Mulheres cis = 45~60% da humanidade Mulheres trans = ~0.5% da humanidade É matemáticamente impossível ela estarem roubando ""espaços""",UCP2LNhmmhAcKHBDJ_ZOTmQg,http://www.youtube.com/@EmanuelOliveira-dr2ys,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
